time,Real Lower Band,Real Middle Band,Real Upper Band
2005-01-12,103.2790,107.8390,112.3991
2005-01-11,103.9140,107.9749,112.0358
2005-01-10,102.9927,107.8171,112.6415
2005-01-07,101.6941,107.4457,113.1974
2005-01-06,100.5626,107.0646,113.5667
2005-01-05,99.9144,106.8858,113.8572
2005-01-04,99.2759,106.6377,113.9996
2005-01-03,98.6060,106.2933,113.9806
2004-12-31,98.5784,106.2083,113.8382
2004-12-30,98.4830,106.3055,114.1281
2004-12-29,98.4316,106.1261,113.8207
2004-12-28,98.1043,105.7786,113.4530
2004-12-27,97.6852,105.2153,112.7454
2004-12-24,96.7123,104.5820,112.4516
2004-12-23,95.7468,104.0270,112.3072
2004-12-22,94.5582,103.3800,112.2019
2004-12-21,93.3582,102.6884,112.0186
2004-12-20,92.3869,101.9914,111.5959
2004-12-17,91.6413,101.2373,110.8332
2004-12-16,90.9834,100.7978,110.6123
2004-12-15,90.7377,99.9978,109.2579
2004-12-14,90.3606,99.4984,108.6361
2004-12-13,89.9367,99.2198,108.5028
2004-12-10,89.4770,98.9292,108.3814
2004-12-09,89.0355,98.6397,108.2439
2004-12-08,88.6504,98.3417,108.0329
2004-12-07,88.3106,98.0083,107.7061
2004-12-06,87.8559,97.6223,107.3886
2004-12-03,87.6969,96.8642,106.0315
2004-12-02,89.2609,95.9259,102.5909
2004-12-01,89.9669,95.1931,100.4192
2004-11-30,90.5751,94.6842,98.7932
2004-11-29,90.9451,94.2739,97.6027
2004-11-25,90.4071,93.8936,97.3801
2004-11-24,89.5321,93.4461,97.3601
2004-11-23,88.9511,93.1400,97.3289
2004-11-22,88.8709,93.0311,97.1913
2004-11-19,88.6814,92.8664,97.0514
2004-11-18,88.6727,92.8239,96.9750
2004-11-17,88.7327,92.7197,96.7067
2004-11-16,88.7280,92.6733,96.6187
2004-11-12,88.8045,92.5880,96.3716
2004-11-11,88.8686,92.5472,96.2259
2004-11-10,88.9160,92.4514,95.9868
2004-11-09,88.9598,92.4097,95.8596
2004-11-08,89.0334,92.3394,95.6455
2004-11-05,89.1023,92.2928,95.4832
2004-11-04,89.0649,92.3311,95.5973
2004-11-03,89.0060,92.5308,96.0557
2004-11-02,88.7178,92.7742,96.8305
