time,SlowD,SlowK
2018-05-22,88.8109,87.5281
2018-05-21,87.6841,88.1017
2018-05-18,82.2764,90.8029
2018-05-17,71.4723,84.1479
2018-05-16,56.7339,71.8786
2018-05-15,41.0226,58.3905
2018-05-14,26.6117,39.9326
2018-05-11,21.8161,24.7446
2018-05-10,21.4825,15.1578
2018-05-09,24.1383,25.5459
2018-05-08,23.1510,23.7436
2018-05-07,27.4820,23.1254
2018-05-04,36.4615,22.5841
2018-05-03,46.1076,36.7365
2018-05-02,51.7772,50.0640
2018-04-30,53.9623,51.5221
2018-04-27,54.2600,53.7454
2018-04-26,50.7212,56.6193
2018-04-25,42.4991,52.4153
2018-04-24,36.8909,43.1289
2018-04-23,39.0376,31.9532
2018-04-20,49.9678,35.5905
2018-04-19,58.0230,49.5691
2018-04-18,59.1188,64.7438
2018-04-17,53.1312,59.7561
2018-04-16,52.2308,52.8564
2018-04-13,57.8373,46.7812
2018-04-12,69.5111,57.0548
2018-04-11,81.0664,69.6758
2018-04-10,88.3113,81.8026
2018-04-09,91.4021,91.7209
2018-04-06,91.0315,91.4102
2018-04-05,90.4192,91.0750
2018-04-04,88.4463,90.6093
2018-04-03,86.8118,89.5734
2018-04-02,83.5520,85.1562
2018-03-28,80.8352,85.7059
2018-03-27,75.2618,79.7940
2018-03-26,68.3553,77.0056
2018-03-23,55.2168,68.9859
2018-03-22,41.4593,59.0745
2018-03-21,37.4003,37.5901
2018-03-20,49.4925,27.7132
2018-03-19,69.2506,46.8976
2018-03-16,82.0264,73.8667
2018-03-15,84.0100,86.9875
2018-03-14,76.8736,85.2251
2018-03-13,62.7912,79.8174
2018-03-12,44.7219,65.5783
2018-03-09,29.7526,42.9779
2018-03-08,27.8447,25.6096
2018-03-07,36.1800,20.6702
2018-03-06,51.8951,37.2544
2018-03-05,64.9633,50.6153
2018-03-01,72.8663,67.8155
2018-02-28,68.8324,76.4591
2018-02-27,52.6601,74.3243
2018-02-26,33.2161,55.7137
2018-02-23,20.8822,27.9422
2018-02-22,23.5216,15.9923
2018-02-21,35.3351,18.7121
2018-02-20,50.3095,35.8605
2018-02-19,61.0611,51.4326
2018-02-16,67.3265,63.6354
2018-02-15,70.2688,68.1152
2018-02-14,69.1576,70.2289
2018-02-12,65.8795,72.4624
2018-02-09,56.8876,64.7813
2018-02-08,45.3123,60.3947
2018-02-07,36.8649,45.4868
2018-02-06,34.0772,30.0553
2018-02-05,37.1051,35.0527
2018-02-02,36.1141,37.1236
2018-02-01,38.4891,39.1391
2018-01-31,49.3262,32.0797
2018-01-30,64.3274,44.2487
2018-01-29,74.4760,71.6504
2018-01-25,69.7244,77.0831
2018-01-24,55.9999,74.6944
2018-01-23,39.1534,57.3956
2018-01-22,23.6724,35.9098
2018-01-19,15.3229,24.1547
2018-01-18,9.7121,10.9526
2018-01-17,10.8506,10.8614
2018-01-16,17.8992,7.3222
2018-01-15,32.1144,14.3680
2018-01-12,52.0336,32.0072
2018-01-11,69.9358,49.9680
2018-01-10,81.3304,74.1255
2018-01-09,74.7593,85.7138
2018-01-08,55.4645,84.1519
2018-01-05,30.2219,54.4121
2018-01-04,16.3827,27.8293
2018-01-03,11.7558,8.4243
2018-01-02,17.4875,12.8944
2018-01-01,28.8091,13.9487
2017-12-29,48.4653,25.6194
2017-12-28,67.7153,46.8591
2017-12-27,80.3871,72.9173
2017-12-26,83.8387,83.3695
2017-12-22,85.4213,84.8746
2017-12-21,87.0337,83.2721
2017-12-20,86.0034,88.1172
2017-12-19,75.0656,89.7116
2017-12-18,60.5875,80.1814
2017-12-15,51.6319,55.3037
2017-12-14,57.2812,46.2775
2017-12-13,60.1983,53.3146
2017-12-12,53.3184,72.2516
2017-12-11,37.1394,55.0287
2017-12-08,25.6696,32.6750
2017-12-07,20.6752,23.7146
2017-12-06,15.2700,20.6191
2017-12-05,12.0687,17.6918
2017-12-04,12.6820,7.4991
2017-12-01,19.2662,11.0152
2017-11-30,28.8049,19.5317
2017-11-29,34.5829,27.2515
2017-11-28,40.0765,39.6314
2017-11-27,45.2564,36.8659
2017-11-24,58.5999,43.7321
2017-11-23,71.2884,55.1712
2017-11-22,78.8469,76.8963
2017-11-21,70.1733,81.7977
2017-11-20,56.3527,77.8467
2017-11-17,36.2968,50.8755
2017-11-16,25.7354,40.3360
2017-11-15,16.2184,17.6789
2017-11-14,14.1748,19.1914
2017-11-13,14.5081,11.7849
2017-11-10,22.2952,11.5480
2017-11-09,38.8967,20.1915
2017-11-08,56.2178,35.1461
2017-11-07,70.1801,61.3525
2017-11-06,74.1667,72.1548
2017-11-03,74.7711,77.0329
2017-11-02,73.3137,73.3125
2017-11-01,68.0140,73.9680
2017-10-31,55.3047,72.6606
2017-10-30,36.4123,57.4132
2017-10-27,20.8258,35.8402
2017-10-26,12.6085,15.9836
2017-10-25,11.2383,10.6535
2017-10-24,11.1231,11.1885
2017-10-23,11.1552,11.8729
2017-10-19,18.6706,10.3078
2017-10-18,35.6658,11.2848
2017-10-17,57.9429,34.4192
2017-10-16,73.5341,61.2932
2017-10-13,80.0636,78.1163
2017-10-12,84.2751,81.1928
2017-10-11,86.2208,80.8818
2017-10-10,88.3368,90.7508
2017-10-09,86.9335,87.0296
2017-10-06,84.9622,87.2301
2017-10-05,79.3115,86.5409
2017-10-04,67.2105,81.1154
2017-10-03,54.9115,70.2780
2017-09-29,42.4280,50.2381
2017-09-28,35.0851,44.2184
2017-09-27,33.1605,32.8276
2017-09-26,37.2154,28.2093
2017-09-25,46.9952,38.4446
2017-09-22,50.4702,44.9924
2017-09-21,51.0314,57.5487
2017-09-20,44.6841,48.8697
2017-09-19,38.6231,46.6760
2017-09-18,35.6255,38.5067
2017-09-15,39.6024,30.6865
2017-09-14,49.0168,37.6832
2017-09-13,59.9056,50.4376
2017-09-12,67.9727,58.9295
2017-09-11,70.7229,70.3497
2017-09-08,64.5401,74.6389
2017-09-07,52.8297,67.1802
2017-09-06,43.7608,51.8013
2017-09-05,41.9923,39.5075
2017-09-04,46.5686,39.9736
2017-09-01,57.7917,46.4958
2017-08-31,68.0178,53.2364
2017-08-30,79.6456,73.6427
2017-08-29,75.9290,77.1743
2017-08-28,64.5306,88.1198
2017-08-24,46.3114,62.4928
2017-08-23,43.5335,42.9793
2017-08-22,53.4572,33.4621
2017-08-21,64.5736,54.1592
2017-08-18,64.8633,72.7504
2017-08-17,52.4075,66.8113
2017-08-16,37.6544,55.0282
2017-08-14,28.8752,35.3831
2017-08-11,35.7978,22.5519
2017-08-10,54.1928,28.6906
2017-08-09,69.9939,56.1509
2017-08-08,72.2667,77.7370
2017-08-07,67.3627,76.0939
2017-08-04,64.5754,62.9692
2017-08-03,68.4024,63.0251
2017-08-02,70.6506,67.7318
2017-08-01,73.7426,74.4503
2017-07-31,76.0250,69.7698
2017-07-28,80.5929,77.0079
2017-07-27,82.3835,81.2973
2017-07-26,82.8239,83.4735
2017-07-25,82.8966,82.3796
2017-07-24,81.1440,82.6185
2017-07-21,79.7434,83.6918
2017-07-20,80.2008,77.1216
2017-07-19,85.6546,78.4167
2017-07-18,90.1305,85.0642
2017-07-17,89.0332,93.4830
2017-07-14,79.8112,91.8444
2017-07-13,67.7500,81.7722
2017-07-12,60.1159,65.8168
2017-07-11,61.2303,55.6608
2017-07-10,67.1085,58.8701
2017-07-07,73.0245,69.1599
2017-07-06,73.2068,73.2956
2017-07-05,70.1467,76.6180
2017-07-04,62.3645,69.7067
2017-07-03,51.8467,64.1153
2017-06-30,43.2594,53.2716
2017-06-29,34.5964,38.1533
2017-06-28,38.2963,38.3533
2017-06-27,44.2125,27.2825
2017-06-23,59.2092,49.2530
2017-06-22,66.3794,56.1020
2017-06-21,72.8793,72.2726
2017-06-20,71.3341,70.7637
2017-06-19,69.2193,75.6018
2017-06-16,62.3810,67.6368
2017-06-15,64.2372,64.4194
2017-06-14,68.2289,55.0869
2017-06-13,73.8023,73.2054
2017-06-12,66.9182,76.3945
2017-06-09,59.8915,71.8069
2017-06-08,59.5326,52.5531
2017-06-07,70.9987,55.3144
2017-06-06,82.3764,70.7303
2017-06-05,88.5004,86.9514
2017-06-02,88.9135,89.4476
2017-06-01,88.9026,89.1022
2017-05-31,84.2209,88.1907
2017-05-30,73.0387,89.4147
2017-05-29,53.9180,75.0572
2017-05-26,34.6275,54.6442
2017-05-25,22.2108,32.0527
2017-05-24,16.8513,17.1855
2017-05-23,19.4739,17.3942
2017-05-22,28.4950,15.9743
2017-05-19,44.6343,25.0533
2017-05-18,61.5475,44.4573
2017-05-17,73.3073,64.3924
2017-05-16,79.7154,75.7928
2017-05-15,80.6016,79.7366
2017-05-12,72.7430,83.6167
2017-05-11,56.3239,78.4516
2017-05-10,43.9483,56.1607
2017-05-09,37.5189,34.3594
2017-05-08,36.5128,41.3248
2017-05-05,28.6087,36.8724
2017-05-04,25.6582,31.3410
2017-05-03,30.6168,17.6126
2017-05-02,47.3322,28.0211
2017-04-28,66.1513,46.2166
2017-04-27,76.5055,67.7589
2017-04-26,74.2767,84.4784
2017-04-25,59.8926,77.2792
2017-04-24,44.2895,61.0725
2017-04-21,36.8505,41.3262
2017-04-20,40.8952,30.4698
2017-04-19,57.0460,38.7554
2017-04-18,72.1175,53.4605
2017-04-17,82.7021,78.9220
2017-04-13,82.1728,83.9700
2017-04-12,80.4509,85.2144
2017-04-11,73.6824,77.3339
2017-04-10,67.9428,78.8044
2017-04-07,53.4760,64.9090
