time,EMA
2017-07-13,1633.8332
2017-07-12,1631.4683
2017-07-11,1630.5913
2017-07-10,1629.4430
2017-07-07,1628.5264
2017-07-06,1628.4555
2017-07-05,1626.4614
2017-07-04,1626.1521
2017-07-03,1624.6523
2017-06-30,1624.9104
2017-06-29,1625.8115
2017-06-28,1625.1548
2017-06-27,1624.7922
2017-06-23,1621.9966
2017-06-22,1618.9594
2017-06-21,1615.1973
2017-06-20,1613.9128
2017-06-19,1611.8562
2017-06-16,1607.4516
2017-06-15,1604.1202
2017-06-14,1600.5749
2017-06-13,1595.2670
2017-06-12,1587.5636
2017-06-09,1581.6808
2017-06-08,1575.0314
2017-06-07,1568.8189
2017-06-06,1565.7893
2017-06-05,1561.5461
2017-06-02,1556.8720
2017-06-01,1551.2691
2017-05-31,1547.9711
2017-05-30,1545.6365
2017-05-29,1541.8351
2017-05-26,1535.8387
2017-05-25,1534.5744
2017-05-24,1534.1664
2017-05-23,1535.1419
2017-05-22,1537.7147
2017-05-19,1539.6373
2017-05-18,1541.5675
2017-05-17,1541.8168
2017-05-16,1540.6764
2017-05-15,1537.9423
2017-05-12,1535.7626
2017-05-11,1534.3850
2017-05-10,1531.5097
2017-05-09,1527.1634
2017-05-08,1527.5700
2017-05-05,1527.3353
2017-05-04,1525.3179
2017-05-03,1521.2040
2017-05-02,1515.9571
2017-04-28,1508.9052
2017-04-27,1505.9426
2017-04-26,1499.4787
2017-04-25,1490.4764
2017-04-24,1484.3792
2017-04-21,1479.4770
2017-04-20,1476.5641
2017-04-19,1472.3129
2017-04-18,1470.4616
2017-04-17,1469.4787
2017-04-13,1468.5869
2017-04-12,1467.9277
2017-04-11,1468.1464
2017-04-10,1467.3618
2017-04-07,1467.4367
2017-04-06,1465.6932
2017-04-05,1463.7188
2017-04-03,1460.9471
2017-03-31,1453.3942
2017-03-30,1448.2357
2017-03-29,1440.5868
2017-03-28,1432.3486
2017-03-27,1424.8274
2017-03-24,1419.5671
2017-03-23,1415.0952
