time,SMA
2017-03-03,1079.4600
2017-03-02,1084.2550
2017-03-01,1083.5200
2017-02-28,1081.8550
2017-02-27,1076.9500
2017-02-23,1073.4500
2017-02-22,1070.8200
2017-02-21,1067.9300
2017-02-20,1064.3750
2017-02-17,1061.5500
2017-02-16,1057.3400
2017-02-15,1053.6100
2017-02-14,1056.2850
2017-02-13,1054.0350
2017-02-10,1053.6300
2017-02-09,1047.7150
2017-02-08,1043.5550
2017-02-07,1031.4700
2017-02-06,1018.3850
2017-02-03,1001.9050
2017-02-02,989.7900
2017-02-01,977.3200
2017-01-31,961.8700
2017-01-30,949.9300
2017-01-27,934.5900
2017-01-25,924.3150
2017-01-24,913.8650
2017-01-23,910.9100
2017-01-20,905.6850
2017-01-19,902.7950
2017-01-18,900.0800
2017-01-17,894.1450
2017-01-16,891.2850
2017-01-13,886.6000
2017-01-12,880.4450
2017-01-11,874.5050
2017-01-10,866.9650
2017-01-09,857.9600
2017-01-06,851.2300
2017-01-05,844.2600
2017-01-04,831.0350
2017-01-03,822.8300
2017-01-02,815.0150
2016-12-30,810.2850
2016-12-29,811.4100
2016-12-28,813.4700
2016-12-27,815.9850
2016-12-26,818.7400
2016-12-23,822.2500
2016-12-22,830.9250
2016-12-21,845.4000
2016-12-20,855.8100
2016-12-19,865.1400
2016-12-16,873.1400
2016-12-15,876.5850
2016-12-14,882.6950
2016-12-13,890.0950
2016-12-12,897.1950
2016-12-09,900.5850
2016-12-08,898.8100
2016-12-07,889.8600
2016-12-06,885.4700
2016-12-05,881.2550
2016-12-02,874.2650
2016-12-01,873.6650
2016-11-30,869.2500
2016-11-29,867.0150
2016-11-28,857.5750
2016-11-25,855.4900
2016-11-24,860.6800
2016-11-23,871.3700
2016-11-22,884.9100
2016-11-21,898.5900
2016-11-18,914.7300
2016-11-17,929.8350
2016-11-16,945.0100
2016-11-15,961.4800
2016-11-11,987.3750
2016-11-10,1012.1050
2016-11-09,1034.1300
2016-11-08,1055.4450
2016-11-07,1069.8950
2016-11-04,1083.9050
2016-11-03,1096.5600
2016-11-02,1105.3950
2016-11-01,1114.7850
2016-10-28,1116.4900
2016-10-27,1115.3450
2016-10-26,1110.3250
2016-10-25,1102.7650
2016-10-24,1096.9450
2016-10-21,1091.8950
2016-10-20,1085.8000
2016-10-19,1082.1450
2016-10-18,1079.0350
2016-10-17,1073.1300
2016-10-14,1068.9300
2016-10-13,1073.4250
2016-10-10,1077.9400
2016-10-07,1082.7350
2016-10-06,1087.1050
2016-10-05,1092.0600
2016-10-04,1091.7500
2016-10-03,1090.8450
2016-09-30,1089.8550
2016-09-29,1092.8950
2016-09-28,1098.6750
2016-09-27,1098.4150
2016-09-26,1097.8250
2016-09-23,1100.8400
2016-09-22,1104.2850
2016-09-21,1105.4420
2016-09-20,1111.1770
2016-09-19,1115.0310
2016-09-16,1118.8120
2016-09-15,1120.3120
2016-09-14,1118.5720
2016-09-12,1115.7440
2016-09-09,1111.1410
2016-09-08,1098.7130
