time,VWAP
2020-06-02 09:40,321.5399
2020-06-02 09:35,321.3717
2020-06-01 16:00,320.8020
2020-06-01 15:55,320.7707
2020-06-01 15:50,320.7526
2020-06-01 15:45,320.7404
2020-06-01 15:40,320.7236
2020-06-01 15:35,320.7064
2020-06-01 15:30,320.6915
2020-06-01 15:25,320.6738
2020-06-01 15:20,320.6647
2020-06-01 15:15,320.6503
2020-06-01 15:10,320.6362
2020-06-01 15:05,320.6152
2020-06-01 15:00,320.5918
2020-06-01 14:55,320.5755
2020-06-01 14:50,320.5618
2020-06-01 14:45,320.5473
2020-06-01 14:40,320.5364
2020-06-01 14:35,320.5259
2020-06-01 14:30,320.5126
2020-06-01 14:25,320.5025
2020-06-01 14:20,320.4918
2020-06-01 14:15,320.4774
2020-06-01 14:10,320.4671
2020-06-01 14:05,320.4563
2020-06-01 14:00,320.4403
2020-06-01 13:55,320.4262
2020-06-01 13:50,320.4071
2020-06-01 13:45,320.3925
2020-06-01 13:40,320.3732
2020-06-01 13:35,320.3482
2020-06-01 13:30,320.3294
2020-06-01 13:25,320.3032
2020-06-01 13:20,320.2855
2020-06-01 13:15,320.2416
2020-06-01 13:10,320.2126
2020-06-01 13:05,320.1718
2020-06-01 13:00,320.1582
2020-06-01 12:55,320.1477
2020-06-01 12:50,320.1363
2020-06-01 12:45,320.1211
2020-06-01 12:40,320.1110
2020-06-01 12:35,320.1059
2020-06-01 12:30,320.0969
2020-06-01 12:25,320.0879
2020-06-01 12:20,320.0784
2020-06-01 12:15,320.0700
2020-06-01 12:10,320.0624
2020-06-01 12:05,320.0566
2020-06-01 12:00,320.0483
2020-06-01 11:55,320.0421
2020-06-01 11:50,320.0294
2020-06-01 11:45,320.0222
2020-06-01 11:40,320.0181
2020-06-01 11:35,320.0129
2020-06-01 11:30,320.0058
2020-06-01 11:25,320.0058
2020-06-01 11:20,320.0023
2020-06-01 11:15,319.9958
2020-06-01 11:10,319.9853
2020-06-01 11:05,319.9768
2020-06-01 11:00,319.9641
2020-06-01 10:55,319.9432
2020-06-01 10:50,319.9213
2020-06-01 10:45,319.8947
2020-06-01 10:40,319.8672
2020-06-01 10:35,319.8370
2020-06-01 10:30,319.7883
2020-06-01 10:25,319.6985
2020-06-01 10:20,319.5658
2020-06-01 10:15,319.4262
2020-06-01 10:10,319.2627
2020-06-01 10:05,319.1024
2020-06-01 10:00,318.9240
2020-06-01 09:55,318.7998
2020-06-01 09:50,318.6050
2020-06-01 09:45,318.3009
2020-06-01 09:40,318.0680
2020-06-01 09:35,317.9933
2020-05-29 16:00,318.9067
2020-05-29 15:55,318.9140
2020-05-29 15:50,318.8731
2020-05-29 15:45,318.8470
2020-05-29 15:40,318.8189
2020-05-29 15:35,318.7972
2020-05-29 15:30,318.7729
2020-05-29 15:25,318.7404
2020-05-29 15:20,318.6956
2020-05-29 15:15,318.6741
2020-05-29 15:10,318.6438
2020-05-29 15:05,318.6055
2020-05-29 15:00,318.5293
2020-05-29 14:55,318.5079
2020-05-29 14:50,318.5511
2020-05-29 14:45,318.5508
2020-05-29 14:40,318.5431
2020-05-29 14:35,318.5316
2020-05-29 14:30,318.5168
2020-05-29 14:25,318.4914
2020-05-29 14:20,318.4703
2020-05-29 14:15,318.4466
2020-05-29 14:10,318.4191
2020-05-29 14:05,318.3774
2020-05-29 14:00,318.3707
2020-05-29 13:55,318.3664
2020-05-29 13:50,318.3645
2020-05-29 13:45,318.3631
2020-05-29 13:40,318.3609
2020-05-29 13:35,318.3578
2020-05-29 13:30,318.3530
2020-05-29 13:25,318.3476
2020-05-29 13:20,318.3416
2020-05-29 13:15,318.3306
2020-05-29 13:10,318.3176
2020-05-29 13:05,318.3067
2020-05-29 13:00,318.2945
2020-05-29 12:55,318.2797
2020-05-29 12:50,318.2967
2020-05-29 12:45,318.2962
2020-05-29 12:40,318.2929
2020-05-29 12:35,318.2903
2020-05-29 12:30,318.2870
2020-05-29 12:25,318.2783
2020-05-29 12:20,318.2764
2020-05-29 12:15,318.2701
2020-05-29 12:10,318.2562
2020-05-29 12:05,318.2236
2020-05-29 12:00,318.1996
2020-05-29 11:55,318.1855
2020-05-29 11:50,318.1722
2020-05-29 11:45,318.1593
2020-05-29 11:40,318.1537
2020-05-29 11:35,318.1413
2020-05-29 11:30,318.1377
2020-05-29 11:25,318.1340
2020-05-29 11:20,318.1310
2020-05-29 11:15,318.1296
2020-05-29 11:10,318.1359
2020-05-29 11:05,318.1561
2020-05-29 11:00,318.1838
2020-05-29 10:55,318.1907
2020-05-29 10:50,318.2142
2020-05-29 10:45,318.2269
2020-05-29 10:40,318.2277
2020-05-29 10:35,318.2150
2020-05-29 10:30,318.2065
2020-05-29 10:25,318.2349
2020-05-29 10:20,318.2922
2020-05-29 10:15,318.3775
2020-05-29 10:10,318.5587
2020-05-29 10:05,318.6919
2020-05-29 10:00,318.7325
2020-05-29 09:55,318.7541
2020-05-29 09:50,318.7157
2020-05-29 09:45,318.6604
2020-05-29 09:40,318.7307
2020-05-29 09:35,318.8367
2020-05-28 16:00,320.6122
2020-05-28 15:55,320.7203
2020-05-28 15:50,320.8428
2020-05-28 15:45,320.8924
2020-05-28 15:40,320.9009
2020-05-28 15:35,320.9073
2020-05-28 15:30,320.9232
2020-05-28 15:25,320.9285
2020-05-28 15:20,320.9203
2020-05-28 15:15,320.8862
2020-05-28 15:10,320.8528
2020-05-28 15:05,320.8377
2020-05-28 15:00,320.8105
2020-05-28 14:55,320.7925
2020-05-28 14:50,320.7798
2020-05-28 14:45,320.7652
2020-05-28 14:40,320.7504
2020-05-28 14:35,320.7365
2020-05-28 14:30,320.7194
2020-05-28 14:25,320.7013
2020-05-28 14:20,320.6819
2020-05-28 14:15,320.6612
2020-05-28 14:10,320.6422
2020-05-28 14:05,320.6225
2020-05-28 14:00,320.5997
2020-05-28 13:55,320.5694
2020-05-28 13:50,320.5139
2020-05-28 13:45,320.4654
2020-05-28 13:40,320.4346
2020-05-28 13:35,320.3843
2020-05-28 13:30,320.3655
2020-05-28 13:25,320.3385
2020-05-28 13:20,320.3124
2020-05-28 13:15,320.2761
2020-05-28 13:10,320.2444
2020-05-28 13:05,320.2161
2020-05-28 13:00,320.1856
2020-05-28 12:55,320.1440
2020-05-28 12:50,320.0959
2020-05-28 12:45,320.0412
2020-05-28 12:40,319.9573
2020-05-28 12:35,319.8867
2020-05-28 12:30,319.8145
2020-05-28 12:25,319.7636
2020-05-28 12:20,319.7216
2020-05-28 12:15,319.6676
2020-05-28 12:10,319.6374
2020-05-28 12:05,319.5996
2020-05-28 12:00,319.5467
2020-05-28 11:55,319.4942
2020-05-28 11:50,319.4358
2020-05-28 11:45,319.4071
2020-05-28 11:40,319.3915
2020-05-28 11:35,319.3760
2020-05-28 11:30,319.3573
2020-05-28 11:25,319.3433
2020-05-28 11:20,319.3301
2020-05-28 11:15,319.3113
2020-05-28 11:10,319.2851
2020-05-28 11:05,319.2216
2020-05-28 11:00,319.1709
2020-05-28 10:55,319.1425
2020-05-28 10:50,319.1104
2020-05-28 10:45,319.0720
2020-05-28 10:40,319.0265
2020-05-28 10:35,318.9694
2020-05-28 10:30,318.9067
2020-05-28 10:25,318.8134
2020-05-28 10:20,318.7628
2020-05-28 10:15,318.6828
2020-05-28 10:10,318.5830
2020-05-28 10:05,318.4867
2020-05-28 10:00,318.4202
2020-05-28 09:55,318.2925
2020-05-28 09:50,317.8790
2020-05-28 09:45,317.6076
2020-05-28 09:40,317.2100
2020-05-28 09:35,316.7150
2020-05-27 16:00,315.9197
2020-05-27 15:55,315.8601
2020-05-27 15:50,315.8080
2020-05-27 15:45,315.7871
2020-05-27 15:40,315.7652
2020-05-27 15:35,315.7548
2020-05-27 15:30,315.7455
2020-05-27 15:25,315.7341
2020-05-27 15:20,315.7173
2020-05-27 15:15,315.7064
2020-05-27 15:10,315.6947
2020-05-27 15:05,315.6871
2020-05-27 15:00,315.6755
2020-05-27 14:55,315.6610
2020-05-27 14:50,315.6538
2020-05-27 14:45,315.6520
2020-05-27 14:40,315.6506
2020-05-27 14:35,315.6470
2020-05-27 14:30,315.6426
2020-05-27 14:25,315.6396
2020-05-27 14:20,315.6343
2020-05-27 14:15,315.6280
2020-05-27 14:10,315.6247
2020-05-27 14:05,315.6224
2020-05-27 14:00,315.6195
2020-05-27 13:55,315.6216
2020-05-27 13:50,315.6248
2020-05-27 13:45,315.6292
2020-05-27 13:40,315.6328
2020-05-27 13:35,315.6388
2020-05-27 13:30,315.6477
2020-05-27 13:25,315.6504
2020-05-27 13:20,315.6525
2020-05-27 13:15,315.6539
2020-05-27 13:10,315.6554
2020-05-27 13:05,315.6578
2020-05-27 13:00,315.6687
2020-05-27 12:55,315.6714
2020-05-27 12:50,315.6744
2020-05-27 12:45,315.6844
2020-05-27 12:40,315.6964
2020-05-27 12:35,315.7052
2020-05-27 12:30,315.7187
2020-05-27 12:25,315.7473
2020-05-27 12:20,315.7640
2020-05-27 12:15,315.7736
2020-05-27 12:10,315.7827
2020-05-27 12:05,315.7895
2020-05-27 12:00,315.8044
2020-05-27 11:55,315.8180
2020-05-27 11:50,315.8385
2020-05-27 11:45,315.8615
2020-05-27 11:40,316.0902
2020-05-27 11:35,316.1631
2020-05-27 11:30,316.1777
2020-05-27 11:25,316.1914
2020-05-27 11:20,316.2071
2020-05-27 11:15,316.2287
2020-05-27 11:10,316.2565
2020-05-27 11:05,316.2964
2020-05-27 11:00,316.3726
2020-05-27 10:55,316.4228
2020-05-27 10:50,316.5500
2020-05-27 10:45,316.7682
2020-05-27 10:40,316.9004
2020-05-27 10:35,316.9106
2020-05-27 10:30,316.8915
2020-05-27 10:25,316.8692
2020-05-27 10:20,316.8527
2020-05-27 10:15,316.8069
2020-05-27 10:10,316.7299
2020-05-27 10:05,316.7470
2020-05-27 10:00,316.9212
2020-05-27 09:55,317.0374
2020-05-27 09:50,317.2671
2020-05-27 09:45,317.5319
2020-05-27 09:40,317.5322
2020-05-27 09:35,317.4283
2020-05-26 16:00,319.8375
2020-05-26 15:55,319.9463
2020-05-26 15:50,320.0290
2020-05-26 15:45,320.0831
2020-05-26 15:40,320.1363
2020-05-26 15:35,320.1822
2020-05-26 15:30,320.2441
2020-05-26 15:25,320.2775
2020-05-26 15:20,320.3110
2020-05-26 15:15,320.3407
2020-05-26 15:10,320.3620
2020-05-26 15:05,320.3765
2020-05-26 15:00,320.3926
