time,SMA
2013-04-01,638.9767
2013-03-28,638.3345
2013-03-26,639.3467
2013-03-25,640.0201
2013-03-22,640.7712
2013-03-21,641.5745
2013-03-20,642.2101
2013-03-19,642.6390
2013-03-18,642.5623
2013-03-15,641.6323
2013-03-14,640.2422
2013-03-13,638.4456
2013-03-12,638.1845
2013-03-11,638.1045
2013-03-08,637.7612
2013-03-07,638.0557
2013-03-06,638.7801
2013-03-05,640.5779
2013-03-04,643.6802
2013-03-01,647.4213
2013-02-28,650.4168
2013-02-27,654.3524
2013-02-26,657.7646
2013-02-25,662.8168
2013-02-22,667.0879
2013-02-21,670.9279
2013-02-20,674.4901
2013-02-19,676.8101
2013-02-18,678.7446
2013-02-15,680.9824
2013-02-14,683.0390
2013-02-13,684.9479
2013-02-12,686.2746
2013-02-11,687.6857
2013-02-08,689.1079
2013-02-07,689.5990
2013-02-06,690.6879
2013-02-05,691.4790
2013-02-04,692.2112
2013-02-01,693.4622
2013-01-31,695.5245
2013-01-30,697.6212
2013-01-29,699.4978
2013-01-28,700.1567
2013-01-25,700.4267
2013-01-24,700.6678
2013-01-23,701.3211
2013-01-22,702.6267
2013-01-21,703.3589
2013-01-18,703.8367
2013-01-17,705.6200
2013-01-16,707.9611
2013-01-15,710.4878
2013-01-14,712.1645
2013-01-11,714.0278
2013-01-10,716.1178
2013-01-09,718.3989
2013-01-08,721.0011
2013-01-07,723.1200
2013-01-04,724.9667
2013-01-03,725.9812
2013-01-02,726.6267
2013-01-01,726.8512
2012-12-31,727.7812
2012-12-28,729.1423
2012-12-27,730.1167
2012-12-26,730.2212
2012-12-24,729.9334
2012-12-21,729.9667
2012-12-20,730.0155
2012-12-19,728.8433
2012-12-18,726.9799
2012-12-17,724.8210
2012-12-14,723.5833
2012-12-13,722.7999
2012-12-12,722.4288
2012-12-11,721.9688
2012-12-10,720.9388
2012-12-07,720.3299
2012-12-06,720.2400
2012-12-05,720.0589
2012-12-04,720.2478
2012-12-03,720.6111
2012-11-30,719.8345
2012-11-29,718.8934
2012-11-27,718.3578
2012-11-26,719.8645
2012-11-23,722.1845
2012-11-22,724.7012
2012-11-21,726.4179
2012-11-20,727.9445
2012-11-19,730.2245
2012-11-16,731.6767
2012-11-15,732.3367
2012-11-12,733.0701
2012-11-11,733.9945
2012-11-09,734.4945
2012-11-08,734.3223
2012-11-07,734.1957
2012-11-06,732.5801
2012-11-05,732.1678
2012-11-02,731.2411
2012-11-01,729.7845
2012-10-31,729.1978
2012-10-30,728.5756
2012-10-29,727.6500
2012-10-25,724.8588
2012-10-23,721.8166
2012-10-22,719.0877
2012-10-19,717.2211
2012-10-18,714.7411
2012-10-17,712.5066
2012-10-16,710.8955
2012-10-15,708.2111
2012-10-12,703.3644
2012-10-11,697.9889
2012-10-10,691.7678
2012-10-09,686.4933
2012-10-08,680.8555
2012-10-05,675.7911
2012-10-04,668.4678
2012-10-03,661.6067
2012-10-01,656.1500
2012-09-28,650.5600
2012-09-27,644.8856
2012-09-26,639.4178
2012-09-25,634.7112
2012-09-24,629.9934
2012-09-21,626.0011
2012-09-20,622.3788
2012-09-18,620.4211
2012-09-17,618.3122
2012-09-14,616.4255
2012-09-13,615.6633
2012-09-12,616.9221
2012-09-11,617.8810
2012-09-10,619.3966
2012-09-08,620.4610
2012-09-07,621.4488
2012-09-06,622.3144
2012-09-05,624.5377
2012-09-04,626.3655
2012-09-03,626.7744
2012-08-31,627.5744
2012-08-30,628.4544
2012-08-29,628.8866
2012-08-28,629.2099
2012-08-27,628.2710
2012-08-24,626.5222
2012-08-23,624.7566
2012-08-22,623.0133
2012-08-21,621.1855
2012-08-17,619.4811
2012-08-16,618.4711
2012-08-14,616.8422
2012-08-13,615.2033
2012-08-10,613.9944
2012-08-09,613.5733
2012-08-08,613.3566
2012-08-07,613.9766
2012-08-06,613.9911
2012-08-03,613.5977
2012-08-02,614.1200
2012-08-01,614.9822
2012-07-31,615.7767
2012-07-30,616.5356
2012-07-27,617.3100
2012-07-26,619.0301
2012-07-25,619.5256
2012-07-24,619.6523
2012-07-23,619.5279
2012-07-20,619.0956
2012-07-19,618.4645
2012-07-18,617.6990
2012-07-17,616.3801
2012-07-16,615.3145
2012-07-13,613.8545
2012-07-12,612.1101
2012-07-11,609.6034
2012-07-10,607.7145
2012-07-09,605.4412
2012-07-06,603.0879
2012-07-05,600.9401
2012-07-04,597.5789
2012-07-03,594.2567
2012-07-02,589.9389
2012-06-29,584.9167
2012-06-28,579.0756
2012-06-27,575.3233
2012-06-26,571.7644
2012-06-25,568.4778
2012-06-22,565.0900
2012-06-21,561.1956
2012-06-20,556.6545
2012-06-19,552.3778
2012-06-18,548.6711
2012-06-15,545.8122
2012-06-14,542.1533
2012-06-13,539.1855
2012-06-12,535.9833
2012-06-11,533.9166
2012-06-08,531.1788
2012-06-07,527.3966
2012-06-06,524.7077
2012-06-05,522.3000
2012-06-04,521.1644
2012-06-01,521.8199
2012-05-31,522.1189
2012-05-30,522.7244
2012-05-29,523.3410
2012-05-28,523.7944
2012-05-25,524.2133
2012-05-24,525.0755
2012-05-23,526.4044
2012-05-22,528.0133
