time,SlowD,SlowK
2017-05-18,56.3539,48.2153
2017-05-17,58.8544,64.1485
2017-05-16,56.4156,56.6980
2017-05-15,58.5386,55.7168
2017-05-12,55.9350,56.8319
2017-05-11,50.0255,63.0672
2017-05-10,36.7452,47.9060
2017-05-09,28.6205,39.1034
2017-05-08,20.8503,23.2264
2017-05-05,23.1631,23.5316
2017-05-04,34.5874,15.7930
2017-05-03,57.1902,30.1646
2017-05-02,77.6894,57.8047
2017-04-28,89.3101,83.6014
2017-04-27,89.9513,91.6622
2017-04-26,82.7543,92.6667
2017-04-25,66.8115,85.5251
2017-04-24,47.4516,70.0712
2017-04-21,31.4899,44.8382
2017-04-20,24.8328,27.4454
2017-04-19,29.5886,22.1860
2017-04-18,41.1118,24.8671
2017-04-17,56.3848,41.7128
2017-04-13,67.8246,56.7554
2017-04-12,75.1292,70.6861
2017-04-11,81.0734,76.0324
2017-04-10,87.0341,78.6689
2017-04-07,90.4677,88.5189
2017-04-06,86.7066,93.9146
2017-04-05,78.8151,88.9696
2017-04-03,71.7579,77.2357
2017-03-31,68.1327,70.2399
2017-03-30,66.1289,67.7980
2017-03-29,63.0855,66.3601
2017-03-28,55.1459,64.2285
2017-03-27,44.1444,58.6680
2017-03-24,34.2756,42.5412
2017-03-23,36.9905,31.2241
2017-03-22,50.0707,29.0616
2017-03-21,68.0042,50.6859
2017-03-20,80.3092,70.4646
2017-03-17,85.2000,82.8620
2017-03-16,82.6494,87.6011
2017-03-15,73.3982,85.1369
2017-03-14,63.0991,75.2103
2017-03-10,57.5975,59.8474
2017-03-09,54.9602,54.2396
2017-03-08,49.8403,58.7057
2017-03-07,39.7724,51.9353
2017-03-06,31.6650,38.8798
2017-03-03,26.1716,28.5020
2017-03-02,26.4869,27.6132
2017-03-01,30.8162,22.3995
2017-02-28,40.5910,29.4479
2017-02-27,47.2231,40.6013
2017-02-23,48.0448,51.7238
2017-02-22,41.7621,49.3443
2017-02-21,32.2323,43.0663
2017-02-20,25.9145,32.8756
2017-02-17,28.2419,20.7550
2017-02-16,41.9948,24.1128
2017-02-15,56.3772,39.8579
2017-02-14,68.3263,62.0136
2017-02-13,74.6598,67.2602
2017-02-10,81.3459,75.7051
2017-02-09,83.8963,81.0140
2017-02-08,82.2175,87.3186
2017-02-07,80.3100,83.3564
2017-02-06,78.3778,75.9774
2017-02-03,78.9188,81.5962
2017-02-02,74.1688,77.5599
2017-02-01,72.5735,77.6004
2017-01-31,67.9096,67.3460
2017-01-30,60.7326,72.7741
2017-01-27,43.3638,63.6087
2017-01-25,28.2071,45.8151
2017-01-24,25.0467,20.6677
2017-01-23,38.1737,18.1385
2017-01-20,57.1048,36.3338
2017-01-19,70.8188,60.0489
2017-01-18,78.7058,74.9316
2017-01-17,82.6941,77.4759
2017-01-16,82.9981,83.7100
2017-01-13,76.5657,86.8963
2017-01-12,67.7405,78.3879
2017-01-11,66.8070,64.4130
2017-01-10,74.1261,60.4206
2017-01-09,83.5350,75.5875
2017-01-06,86.4274,86.3701
2017-01-05,83.5972,88.6473
2017-01-04,77.8703,84.2649
2017-01-03,73.4480,77.8794
2017-01-02,73.4791,71.4665
2016-12-30,75.2419,70.9979
2016-12-29,74.9378,77.9728
2016-12-28,62.9283,76.7551
2016-12-27,45.5394,70.0854
2016-12-26,27.2388,41.9443
2016-12-23,18.8821,24.5886
2016-12-22,18.8695,15.1836
2016-12-21,21.7896,16.8740
2016-12-20,24.9815,24.5508
2016-12-19,31.5181,23.9440
2016-12-16,41.6094,26.4497
2016-12-15,53.9736,44.1605
2016-12-14,57.2967,54.2179
2016-12-13,51.3656,63.5423
